string_field_0,string_field_1,string_field_2,string_field_3,string_field_4
countryname,countrycode,seriesname,seriescode,yr1960
Afghanistan,AFG,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,178556
Afghanistan,AFG,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,177635
Afghanistan,AFG,"Age population, age 01, female, interpolated",SP.POP.AG01.FE.IN,162320
Afghanistan,AFG,"Age population, age 01, male, interpolated",SP.POP.AG01.MA.IN,165324
Afghanistan,AFG,"Age population, age 02, female, interpolated",SP.POP.AG02.FE.IN,149031
Afghanistan,AFG,"Age population, age 02, male, interpolated",SP.POP.AG02.MA.IN,154536
Afghanistan,AFG,"Age population, age 03, female, interpolated",SP.POP.AG03.FE.IN,138378
Afghanistan,AFG,"Age population, age 03, male, interpolated",SP.POP.AG03.MA.IN,145153
Afghanistan,AFG,"Age population, age 04, female, interpolated",SP.POP.AG04.FE.IN,130047
